"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","5호선","청구","1905","1936","20260304",""
"20260301","1호선","시청","18224","17298","20260304",""
"20260301","1호선","종로3가","21930","19601","20260304",""
"20260301","1호선","종로5가","14979","14221","20260304",""
"20260301","1호선","동대문","14171","15289","20260304",""
"20260301","1호선","신설동","10103","9932","20260304",""
"20260301","1호선","제기동","12352","12890","20260304",""
"20260301","1호선","청량리(서울시립대입구)","19627","19758","20260304",""
"20260301","1호선","동묘앞","16322","17325","20260304",""
"20260301","2호선","시청","11727","9373","20260304",""
"20260301","2호선","을지로입구","33640","32201","20260304",""
"20260301","2호선","을지로3가","16083","16162","20260304",""
"20260301","2호선","을지로4가","7700","7510","20260304",""
"20260301","2호선","동대문역사문화공원(DDP)","15036","18206","20260304",""
"20260301","2호선","신당","11268","12405","20260304",""
"20260301","2호선","상왕십리","8838","8541","20260304",""
"20260301","2호선","왕십리(성동구청)","12231","11868","20260304",""
"20260301","2호선","한양대","3823","3583","20260304",""
"20260301","2호선","뚝섬","15603","15478","20260304",""
"20260301","2호선","성수","48966","52551","20260304",""
"20260301","2호선","건대입구","35991","36926","20260304",""
"20260301","2호선","구의(광진구청)","18336","17995","20260304",""
"20260301","2호선","강변(동서울터미널)","23007","21711","20260304",""
"20260301","2호선","잠실나루","6743","6729","20260304",""
"20260301","2호선","잠실(송파구청)","72170","67651","20260304",""
"20260301","2호선","잠실새내","14903","15300","20260304",""
"20260301","2호선","종합운동장","5064","5526","20260304",""
"20260301","2호선","삼성(무역센터)","34697","31616","20260304",""
"20260301","2호선","선릉","17557","14901","20260304",""
"20260301","2호선","역삼","14152","15581","20260304",""
"20260301","2호선","강남","39826","39782","20260304",""
"20260301","2호선","교대(법원.검찰청)","11154","13673","20260304",""
"20260301","2호선","서초","15437","14366","20260304",""
"20260301","2호선","방배","7807","7595","20260304",""
"20260301","2호선","사당","30601","33209","20260304",""
"20260301","2호선","낙성대(강감찬)","20037","18698","20260304",""
"20260301","2호선","서울대입구(관악구청)","32476","31974","20260304",""
"20260301","2호선","봉천","15566","14590","20260304",""
"20260301","2호선","신림","41057","39943","20260304",""
"20260301","2호선","신대방","17820","16679","20260304",""
"20260301","2호선","구로디지털단지","30678","29530","20260304",""
"20260301","2호선","대림(구로구청)","18178","18309","20260304",""
"20260301","2호선","신도림","34554","34355","20260304",""
"20260301","2호선","문래","11631","12719","20260304",""
"20260301","2호선","영등포구청","11542","12086","20260304",""
"20260301","2호선","당산","10979","11463","20260304",""
"20260301","2호선","합정","27662","30354","20260304",""
"20260301","2호선","홍대입구","83220","90346","20260304",""
"20260301","2호선","신촌","28274","28113","20260304",""
"20260301","2호선","이대","10032","10491","20260304",""
"20260301","2호선","아현","6635","6345","20260304",""
"20260301","2호선","충정로(경기대입구)","4876","5351","20260304",""
"20260301","2호선","용답","2182","2003","20260304",""
"20260301","2호선","신답","1016","1068","20260304",""
"20260301","2호선","신설동","4096","3938","20260304",""
"20260301","2호선","도림천","587","602","20260304",""
"20260301","2호선","양천구청","3961","3948","20260304",""
"20260301","2호선","신정네거리","6218","6148","20260304",""
"20260301","2호선","용두(동대문구청)","1527","1450","20260304",""
"20260301","3호선","지축","5020","4914","20260304",""
"20260301","3호선","구파발","15845","15899","20260304",""
"20260301","3호선","연신내","26878","25453","20260304",""
"20260301","3호선","불광","11876","13231","20260304",""
"20260301","3호선","녹번","8685","8021","20260304",""
"20260301","3호선","홍제","12026","11442","20260304",""
